model;ACC;Precision;Recall;F1;ROC;Jaccard
LogisticRegression;0.7764900662251656;0.7840670859538784;0.9211822660098522;0.8471121177802944;0.700490122903916;0.7347740667976425
KNeighborsClassifier;0.7367549668874173;0.7379576107899807;0.9433497536945813;0.8281081081081081;0.6282405334129473;0.7066420664206642
DecisionTreeClassifier;0.695364238410596;0.7581395348837209;0.8029556650246306;0.7799043062200955;0.6388515698860526;0.6392156862745098
ExtraTreeClassifier;0.7317880794701986;0.7785388127853882;0.8399014778325123;0.8080568720379148;0.6750012439667613;0.6779324055666004
RandomForestClassifier;0.7599337748344371;0.7668711656441718;0.9236453201970444;0.8379888268156424;0.6739438722197344;0.7211538461538461
BaggingClassifier;0.7450331125827815;0.7850678733031674;0.854679802955665;0.8183962264150945;0.6874409115788426;0.6926147704590818
AdaBoostClassifier;0.75;0.7475728155339806;0.9482758620689655;0.8360477741585234;0.6458551027516545;0.7182835820895522
GradientBoostingClassifier;0.7466887417218543;0.7418738049713193;0.9556650246305419;0.8353067814854682;0.6369234214061801;0.7171903881700554
SVC;0.7748344370860927;0.7848101265822784;0.916256157635468;0.8454545454545455;0.7005523212419764;0.7322834645669292
XGBClassifier;0.7748344370860927;0.8054298642533937;0.8768472906403941;0.839622641509434;0.7212519281484798;0.7235772357723578
VotingClassifier;0.7715231788079471;0.773469387755102;0.9334975369458128;0.8459821428571428;0.6864457381698761;0.7330754352030948
